bacia_sedimentar,código_do_poço_(api),nome_do_poço_(anp),tipo_de_fluido,profundidade_topo_(m),profundidade_base_(m),quantidade_de_amostra,tipo_de_container,volume_(l),data_de_conclusão_do_poço,município/estado,depositária
CAMPOS MAR,742810327200.0,7-RO-75HP-RJS,ÓLEO,"3.083,40","3.094,10",2.0,Garrafa Vidro Âmbar,1,2007-05-27,CATU/BA,PETROBRAS
CAMPOS MAR,742810327600.0,7-RO-76H-RJS,ÓLEO,"3.196,00","4.052,00",2.0,Garrafa Vidro Âmbar,1,2008-09-20,CATU/BA,PETROBRAS
CAMPOS MAR,742810328300.0,7-RO-77H-RJS,ÓLEO,"3.204,00","4.054,00",2.0,Garrafa Vidro Âmbar,1,2007-11-03,CATU/BA,PETROBRAS
CAMPOS MAR,742810333500.0,7-RO-84-RJS,CONDENSADO,"2.790,00","2.793,00",2.0,Garrafa Vidro Âmbar,1,2008-04-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810333500.0,7-RO-84-RJS,CONDENSADO,"2.831,00","2.839,00",2.0,Garrafa Vidro Âmbar,1,2008-04-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810333500.0,7-RO-84-RJS,CONDENSADO,"2.854,00","2.862,00",2.0,Garrafa Vidro Âmbar,1,2008-04-04,CATU/BA,PETROBRAS
CAMPOS MAR,742810359200.0,7-RO-100HP-RJS,ÓLEO,"3.327,00","3.913,00",2.0,Garrafa Vidro Âmbar,1,2012-05-26,CATU/BA,PETROBRAS
CAMPOS MAR,742810360500.0,7-RO-107HP-RJS,ÓLEO,"3.385,00","4.481,00",2.0,Garrafa Vidro Âmbar,1,2012-04-02,CATU/BA,PETROBRAS
CAMPOS MAR,742810361700.0,7-RO-105HP-RJS,ÓLEO,"3.382,00","3.895,00",2.0,Garrafa Vidro Âmbar,1,2012-10-10,CATU/BA,PETROBRAS
CAMPOS MAR,742810361900.0,7-RO-111HP-RJS,ÓLEO,"3.156,00","4.107,00",2.0,Garrafa Vidro Âmbar,1,2013-08-03,CATU/BA,PETROBRAS
CAMPOS MAR,742810363300.0,7-RO-112HA-RJS,ÓLEO,"3.440,00","3.925,00",2.0,Garrafa Vidro Âmbar,1,2012-07-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810364100.0,7-RO-114HP-RJS,ÓLEO,"3.085,00","3.840,00",2.0,Garrafa Vidro Âmbar,1,2012-09-15,CATU/BA,PETROBRAS
CAMPOS MAR,742810365500.0,7-RO-124HA-RJS,ÓLEO,"3.407,00","3.893,00",2.0,Garrafa Vidro Âmbar,1,2012-11-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810366700.0,7-RO-123HP-RJS,ÓLEO,"3.367,00","4.050,00",2.0,Garrafa Vidro Âmbar,1,2013-03-12,CATU/BA,PETROBRAS
CAMPOS MAR,742810369700.0,7-RO-121HP-RJS,ÓLEO,"3.282,00","4.098,00",2.0,Garrafa Vidro Âmbar,1,2013-08-14,CATU/BA,PETROBRAS
CAMPOS MAR,742810370000.0,7-RO-129H-RJS,ÓLEO,"3.301,80","4.040,50",2.0,Garrafa Vidro Âmbar,1,2013-06-21,CATU/BA,PETROBRAS
CAMPOS MAR,742810373200.0,7-RO-142H-RJS,ÓLEO,"3.334,00","4.010,00",2.0,Garrafa Vidro Âmbar,1,2013-01-05,CATU/BA,PETROBRAS
CAMPOS MAR,742810389100.0,7-RO-154D-RJS,ÓLEO,"3.010,00","3.105,00",2.0,Garrafa Vidro Âmbar,1,2014-09-14,CATU/BA,PETROBRAS
CAMPOS MAR,742810390600.0,7-RO-156D-RJS,ÓLEO,"3.047,00","3.077,00",2.0,Garrafa Vidro Âmbar,1,2015-02-19,CATU/BA,PETROBRAS
CAMPOS MAR,742810390600.0,7-RO-156D-RJS,ÓLEO,"3.110,00","3.135,00",2.0,Garrafa Vidro Âmbar,1,2015-02-19,CATU/BA,PETROBRAS
CAMPOS MAR,742810390600.0,7-RO-156D-RJS,ÓLEO,"3.158,00","3.180,00",8.0,Garrafa Vidro Âmbar,1,2015-02-19,CATU/BA,PETROBRAS
CAMPOS MAR,742810390900.0,7-RO-158HP-RJS,ÓLEO,"3.401,00","4.012,00",2.0,Garrafa Vidro Âmbar,1,2015-02-26,CATU/BA,PETROBRAS
CAMPOS MAR,742810391200.0,7-RO-160D-RJS,ÓLEO,"3.180,00","3.331,00",2.0,Garrafa Vidro Âmbar,1,2015-05-18,CATU/BA,PETROBRAS
CAMPOS MAR,742810392500.0,9-TVD-1D-RJS,ÓLEO,"2.993,00","3.054,00",2.0,Garrafa Vidro Âmbar,1,2015-12-18,CATU/BA,PETROBRAS
CAMPOS MAR,742810394200.0,7-RO-162HP-RJS,ÓLEO,"3.649,00","4.573,00",2.0,Garrafa Vidro Âmbar,1,2016-02-26,CATU/BA,PETROBRAS
CAMPOS MAR,742810397400.0,7-RO-168D-RJS,ÓLEO,"3.067,50","3.215,00",2.0,Garrafa Vidro Âmbar,1,2017-06-22,CATU/BA,PETROBRAS
SANTOS,743160021100.0,7-TBU-7HP-RJS,ÓLEO,"4.835,00","6.270,00",1.0,Garrafa Vidro Âmbar,1,2011-11-22,CATU/BA,PETROBRAS
SANTOS,743160021100.0,7-TBU-7HP-RJS,CONDENSADO,"4.835,00","6.270,00",2.0,Garrafa Vidro Âmbar,1,2011-11-22,CATU/BA,PETROBRAS
SANTOS,863160027000.0,7-SPH-3-SPS,ÓLEO,"5.045,00","5.112,00",2.0,Garrafa Vidro Âmbar,1,2012-10-31,CATU/BA,PETROBRAS
SANTOS,863160030400.0,7-SPH-8-SPS,ÓLEO,"4.976,00","5.030,00",2.0,Garrafa Vidro Âmbar,1,2013-04-06,CATU/BA,PETROBRAS
SANTOS,863160030400.0,7-SPH-8-SPS,ÓLEO,"5.050,00","5.096,00",2.0,Garrafa Vidro Âmbar,1,2013-04-06,CATU/BA,PETROBRAS
SANTOS,863160030500.0,7-SPH-6-SPS,ÓLEO,"5.505,00","5.115,00",2.0,Garrafa Vidro Âmbar,1,2013-04-27,CATU/BA,PETROBRAS
SOLIMÕES,140200061400.0,7-RUC-18D-AM,CONDENSADO,"2.588,50","2.597,50",2.0,Garrafa Vidro Âmbar,1,1989-06-07,CATU/BA,PETROBRAS
SOLIMÕES,140200063600.0,7-RUC-24D-AM,ÓLEO,"2.762,20","2.764,20",2.0,Garrafa Vidro Âmbar,1,1991-07-18,CATU/BA,PETROBRAS
SOLIMÕES,140200063600.0,7-RUC-24D-AM,ÓLEO,"2.791,00","2.794,50",4.0,Garrafa Vidro Âmbar,1,1991-07-18,CATU/BA,PETROBRAS
SOLIMÕES,140200080300.0,7-RUC-58HP-AM,ÓLEO,"3.505,74","3.524,00",2.0,Garrafa Vidro Âmbar,1,2009-09-27,CATU/BA,PETROBRAS
SOLIMÕES,140200082500.0,7-RUC-67HP-AM,CONDENSADO,"0,00","0,00",2.0,Garrafa Vidro Âmbar,1,2010-11-20,CATU/BA,PETROBRAS
SOLIMÕES,140200083300.0,7-RUC-83H-AM,ÓLEO,"2.592,80","2.595,35",4.0,Garrafa Vidro Âmbar,1,2011-07-15,CATU/BA,PETROBRAS
SOLIMÕES,140200083400.0,7-RUC-96HP-AM,ÓLEO,"2.690,00","2.850,00",2.0,Garrafa Vidro Âmbar,1,2011-04-16,CATU/BA,PETROBRAS
SOLIMÕES,140200083900.0,7-RUC-86H-AM,ÁGUA,"2.645,00","3.750,00",1.0,Garrafa Vidro Âmbar,1,2011-11-29,CATU/BA,PETROBRAS
SOLIMÕES,140200083900.0,7-RUC-86H-AM,CONDENSADO,"2.645,00","3.750,00",2.0,Garrafa Vidro Âmbar,1,2011-11-29,CATU/BA,PETROBRAS
SOLIMÕES,140200084700.0,7-RUC-94DP-AM,ÓLEO,"2.821,50","2.823,00",4.0,Garrafa Vidro Âmbar,1,2011-12-31,CATU/BA,PETROBRAS
SOLIMÕES,140200087800.0,7-RUC-103DP-AM,CONDENSADO,"2.658,00","2.667,00",2.0,Garrafa Vidro Âmbar,1,2013-01-29,CATU/BA,PETROBRAS
SOLIMÕES,140200090700.0,7-RUC-110HP-AM,CONDENSADO,"2.528,00","2.542,00",2.0,Garrafa Vidro Âmbar,1,2014-05-26,CATU/BA,PETROBRAS
SOLIMÕES,140200096000.0,7-SUC-6D-AM,ÁGUA,"2.597,80","2.599,30",1.0,Garrafa Vidro Âmbar,1,2015-08-23,CATU/BA,PETROBRAS
SOLIMÕES,140200096000.0,7-SUC-6D-AM,ÓLEO,"2.597,80","2.599,30",1.0,Garrafa Vidro Âmbar,1,2015-08-23,CATU/BA,PETROBRAS
CAMPOS MAR,342810118600.0,9-CHT-3-ESS,ÓLEO,"2.523,50","2.578,00",1.0,Garrafa Vidro Âmbar,1,2004-10-07,CATU/BA,PETROBRAS
CAMPOS MAR,342810191300.0,8-JUB-39-ESS,ÓLEO,"4.390,00","4.564,00",2.0,Garrafa Vidro Âmbar,1,2014-08-12,CATU/BA,PETROBRAS
CAMPOS MAR,742810112100.0,8-NA-22-RJS,ÓLEO,"3.172,00","3.190,00",2.0,Garrafa Vidro Âmbar,1,1984-11-17,CATU/BA,PETROBRAS
CAMPOS MAR,742810112100.0,8-NA-22-RJS,FLUIDO NATIVO,"3.172,00","3.190,00",2.0,Garrafa Vidro Âmbar,1,1984-11-17,CATU/BA,PETROBRAS
CAMPOS MAR,742810240400.0,9-MLS-13D-RJS,ÓLEO,"3.044,00","3.660,00",2.0,Garrafa Vidro Âmbar,1,2000-02-23,CATU/BA,PETROBRAS
CAMPOS MAR,742810242600.0,9-MRL-119D-RJS,ÓLEO,"4.670,00","4.725,00",2.0,Garrafa Vidro Âmbar,1,2000-04-25,CATU/BA,PETROBRAS
CAMPOS MAR,742810268600.0,8-RO-32-RJS,ÓLEO,"3.239,00","3.268,00",2.0,Garrafa Vidro Âmbar,1,2002-06-02,CATU/BA,PETROBRAS
