;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Profundidade (m);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
CAMPOS;74281023752;3-BRSA-715D-RJS;3727;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3733;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3740;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3745;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3748;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3755;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3758;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3766;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3775;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3789;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3793;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3796;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3808;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3845;3;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3869;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3879;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3886;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3896;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3902;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3909;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3918;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3921;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3926;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
CAMPOS;74281023752;3-BRSA-715D-RJS;3930;4;6;08/06/2009;RIO DE JANEIRO/RJ;3R
