;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Identificador da caixa;Total de caixas;Profundidade topo (m);Profundidade base (m);Data de conclusão do poço;Município/Estado;Depositária;;
CAMPOS;742810230100;1-RJS-529D-RJS;14;21;3093;3150;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;15;21;3150;3213;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;16;21;3213;3276;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;17;21;3276;3342;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;18;21;3342;3405;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;19;21;3405;3477;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;20;21;3477;3546;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;21;21;3546;3612;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;1;2;2502;3132;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;742810230100;1-RJS-529D-RJS;2;2;3132;3618;14/08/1998;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;1;33;1791;1935;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;2;33;1935;2088;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;3;33;2088;2259;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;4;33;2259;2439;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;5;33;2439;2601;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;6;33;2601;2754;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;7;33;2754;2934;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;8;33;2934;3072;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;9;33;3072;3126;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;10;33;3126;3186;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;11;33;3186;3255;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;12;33;3255;3312;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;13;33;3312;3366;10/09/2015;RIO DE JANEIRO/RJ;3R;;
CAMPOS;74281026616;7-PPT-17H-RJS;14;33;3366;3435;10/09/2015;RIO DE JANEIRO/RJ;3R;;
