;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
RECÔNCAVO;202400329900;7-AG-297-BA;1;202;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;203;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;204;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;205;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;206;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;207;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;208;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;209;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;210;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;211;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;212;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;213;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;214;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;215;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;216;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;217;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;218;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;219;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;220;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;221;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;222;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;223;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;224;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
