Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
CAMPOS MAR;742810303000;1-BRSA-319-RJS;ÓLEO;3.242,50;3.251,00;2;Garrafa Vidro Âmbar;1;09/01/2005;CATU/BA;PETROBRAS
CAMPOS MAR;742810335800;1-BRSA-619-RJS;ÓLEO;1.968,00;1.988,00;2;Garrafa Vidro Âmbar;1;19/06/2008;CATU/BA;PETROBRAS
CAMPOS MAR;742810341900;1-BRSA-713-RJS;ÓLEO;3.022,00;3.067,00;2;Garrafa Vidro Âmbar;1;13/06/2009;CATU/BA;PETROBRAS
CAMPOS MAR;742810348100;1-BRSA-797-RJS;ÓLEO;1.758,00;1.770,00;2;Garrafa Vidro Âmbar;1;24/04/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810348700;1-BRSA-805-RJS;ÓLEO;2.975,00;3.045,00;4;Garrafa Vidro Âmbar;1;07/07/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810348700;1-BRSA-805-RJS;FLUIDO NATIVO;3.100,00;3.110,00;2;Garrafa Vidro Âmbar;1;07/07/2010;CATU/BA;PETROBRAS
CAMPOS MAR;742810431300;1-BRSA-1383A-RJS;ÓLEO;3.907,00;4.057,00;2;Garrafa Vidro Âmbar;1;19/07/2022;CATU/BA;PETROBRAS
POTIGUAR MAR;721010202900;1-RNS-71;ÓLEO;2.600,00;2.809,00;2;Garrafa Vidro Âmbar;1;;CATU/BA;PETROBRAS
POTIGUAR MAR;721010769400;1-BRSA-710-RNS;ÓLEO;2.717,00;2.744,00;2;Garrafa Vidro Âmbar;1;16/07/2009;CATU/BA;PETROBRAS
POTIGUAR MAR;721010769400;1-BRSA-710-RNS;ÓLEO;3.277,00;3.318,50;2;Garrafa Vidro Âmbar;1;16/07/2009;CATU/BA;PETROBRAS
POTIGUAR MAR;721010769400;1-BRSA-710-RNS;ÓLEO;3.295,70;3.295,70;2;Garrafa Vidro Âmbar;1;16/07/2009;CATU/BA;PETROBRAS
POTIGUAR MAR;721010776600;1-BRSA-732D-RNS;ÓLEO;3.267,00;3.286,00;1;Garrafa Vidro Âmbar;1;29/11/2009;CATU/BA;PETROBRAS
POTIGUAR MAR;721010781000;1-BRSA-756-RNS;ÓLEO;3.076,00;3.080,00;2;Garrafa Vidro Âmbar;1;11/03/2010;CATU/BA;PETROBRAS
POTIGUAR MAR;721010781000;1-BRSA-756-RNS;ÓLEO;3.077,00;3.100,00;2;Garrafa Vidro Âmbar;1;11/03/2010;CATU/BA;PETROBRAS
POTIGUAR MAR;721010819500;1-BRSA-862-RNS;ÓLEO;2.635,00;2.647,00;2;Garrafa Vidro Âmbar;1;25/04/2011;CATU/BA;PETROBRAS
POTIGUAR MAR;721010819500;1-BRSA-862-RNS;ÓLEO;2.691,00;2.707,00;2;Garrafa Vidro Âmbar;1;25/04/2011;CATU/BA;PETROBRAS
POTIGUAR MAR;721010819500;1-BRSA-862-RNS;ÓLEO;3.765,00;3.773,00;2;Garrafa Vidro Âmbar;1;25/04/2011;CATU/BA;PETROBRAS
POTIGUAR MAR;721010819500;1-BRSA-862-RNS;ÓLEO;3.845,50;3.859,50;2;Garrafa Vidro Âmbar;1;25/04/2011;CATU/BA;PETROBRAS
POTIGUAR MAR;721010838300;1-BRSA-962-RNS;CONDENSADO;4.391,00;4.411,00;2;Garrafa Vidro Âmbar;1;29/06/2012;CATU/BA;PETROBRAS
POTIGUAR MAR;721010876700;1-BRSA-1205-RNS;ÓLEO;3.780,00;3.880,00;2;Garrafa Vidro Âmbar;1;11/03/2014;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000106400;1-SE-1-RN;ÓLEO;1.314,50;1.366,50;2;Garrafa Vidro Âmbar;1;;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000654200;1-BRSA-352-RN;ÓLEO;1.407,00;1.410,00;2;Garrafa Vidro Âmbar;1;01/08/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000654200;1-BRSA-352-RN;ÓLEO;1.407,00;1.413,00;2;Garrafa Vidro Âmbar;1;01/08/2005;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000689400;1-BRSA-455-RN;ÓLEO;1.689,00;1.704,00;2;Garrafa Vidro Âmbar;1;30/12/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000689400;1-BRSA-455-RN;ÓLEO;2.333,00;2.335,00;2;Garrafa Vidro Âmbar;1;30/12/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000707300;1-BRSA-509-RN;ÓLEO;1.537,00;1.540,50;2;Garrafa Vidro Âmbar;1;18/10/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000707300;1-BRSA-509-RN;ÓLEO;1.619,50;1.625,50;4;Garrafa Vidro Âmbar;1;18/10/2008;CATU/BA;PETROBRAS
